DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112597,2,,1,1,1,1,2,1,1,1,3,1,1,619.79460793
112598,2,,1,1,1,1,2,1,1,1,3,1,1,530.62333125
112599,2,,1,1,2,1,2,1,1,1,3,1,1,572.63624377
112600,2,,1,1,2,1,2,1,1,1,3,1,1,440.60327293
112601,2,,1,1,2,1,2,1,1,1,3,1,1,508.70897074
112602,2,,1,1,1,1,2,1,1,1,3,1,1,499.91845217
112604,2,,1,1,1,1,2,1,1,1,3,1,1,395.55665626
112606,2,,1,1,1,1,2,1,1,1,3,1,1,570.8371173
112607,2,,1,1,2,1,2,1,1,1,3,1,1,536.31521811
112608,2,,1,1,2,1,2,1,1,1,3,1,1,594.298131
112609,2,,1,1,2,1,1,1,1,1,3,1,1,499.92329784
112610,2,,1,1,1,1,2,1,1,1,3,1,1,389.52136083
112611,2,,1,1,2,1,1,1,1,1,3,1,1,951.95614419
112612,2,,1,1,2,1,1,1,1,1,3,1,1,1111.5790329
112613,2,,1,1,2,1,1,1,1,1,3,1,1,840.09755902
